customer_id,name,country,currency,segment,signup_date
cus_00001,Delta Systems Ltd,US,USD,enterprise,2024-09-18
cus_00002,Quant Digital AG,US,USD,mid_market,2024-09-12
cus_00003,Atlas Logistics AB,FR,EUR,smb,2024-09-05
cus_00004,Delta Dynamics AB,GB,GBP,smb,2024-09-05
cus_00005,Orbit Works AG,DE,EUR,mid_market,2024-09-01
cus_00006,Blue Logistics Inc,FR,EUR,enterprise,2024-09-07
cus_00007,Iron Networks SAS,NL,EUR,mid_market,2024-09-24
cus_00008,Blue Digital AG,NL,EUR,smb,2024-09-28
cus_00009,Hyper Networks SL,DE,EUR,startup,2024-09-21
cus_00010,Nord Media Inc,DE,EUR,startup,2024-09-04
cus_00011,Prime Cloud GmbH,NL,EUR,smb,2024-09-27
cus_00012,Ever Studio AG,FR,EUR,mid_market,2024-09-24
cus_00013,Pulse Group GmbH,DE,EUR,startup,2024-09-05
cus_00014,Nord Works AB,US,USD,startup,2024-09-09
cus_00015,Acme Systems AB,DE,EUR,enterprise,2024-09-29
cus_00016,Atlas Digital Inc,DE,EUR,smb,2024-09-02
cus_00017,Ever Data AB,DE,EUR,smb,2024-09-28
cus_00018,Delta Analytics BV,GB,GBP,startup,2024-10-28
cus_00019,Nord Software Inc,DE,EUR,startup,2024-10-26
cus_00020,Nord Data AB,CH,CHF,mid_market,2024-10-31
cus_00021,Bright Data AG,DE,EUR,startup,2024-10-08
cus_00022,Atlas Apps SL,US,USD,enterprise,2024-10-04
cus_00023,Bright Group AB,DE,EUR,startup,2024-10-03
cus_00024,Acme Analytics Ltd,DE,EUR,smb,2024-10-05
cus_00025,Prime Networks Inc,FR,EUR,smb,2024-10-24
cus_00026,Hyper Studio Inc,IT,EUR,mid_market,2024-10-06
cus_00027,Cedar Dynamics SL,CH,CHF,mid_market,2024-10-06
cus_00028,Atlas Systems GmbH,FR,EUR,smb,2024-10-03
cus_00029,Nord Analytics SAS,DE,EUR,smb,2024-10-19
cus_00030,Cedar Data BV,DE,EUR,startup,2024-10-29
cus_00031,Clear Software SAS,GB,GBP,startup,2024-10-22
cus_00032,Ever Solutions BV,GB,GBP,mid_market,2024-10-10
cus_00033,Quant Software SAS,ES,EUR,smb,2024-10-18
cus_00034,Iron Systems SAS,DE,EUR,smb,2024-11-16
cus_00035,Nova Cloud AB,IT,EUR,startup,2024-11-12
cus_00036,Prime Solutions SAS,NL,EUR,smb,2024-11-08
cus_00037,Falcon Networks Inc,DE,EUR,startup,2024-11-07
cus_00038,Alto Data Ltd,IT,EUR,startup,2024-11-05
cus_00039,Orbit Digital BV,NL,EUR,startup,2024-11-11
cus_00040,Clear Digital AG,CH,CHF,startup,2024-11-14
cus_00041,Nord Commerce SL,DE,EUR,smb,2024-11-11
cus_00042,Iron Systems GmbH,DE,EUR,smb,2024-11-08
cus_00043,Acme Labs SL,NL,EUR,startup,2024-11-19
cus_00044,Delta Cloud AB,US,USD,startup,2024-11-04
cus_00045,Bright Industries AB,DE,EUR,startup,2024-11-05
cus_00046,Vertex Software Inc,DE,EUR,startup,2024-11-13
cus_00047,Nova Analytics AG,IT,EUR,smb,2024-11-22
cus_00048,Vertex Data Ltd,DE,EUR,mid_market,2024-11-15
cus_00049,Swift Studio BV,GB,GBP,mid_market,2024-12-02
cus_00050,Acme Studio BV,CH,CHF,mid_market,2024-12-08
cus_00051,Falcon Networks GmbH,DE,EUR,smb,2024-12-20
cus_00052,Bright Digital GmbH,DE,EUR,mid_market,2024-12-05
cus_00053,Alto Industries GmbH,NL,EUR,startup,2024-12-18
cus_00054,Iron Labs AB,US,USD,mid_market,2024-12-11
cus_00055,Falcon Apps SL,FR,EUR,smb,2024-12-27
cus_00056,Ever Dynamics GmbH,DE,EUR,startup,2024-12-18
cus_00057,Hyper Studio AG,DE,EUR,smb,2024-12-29
cus_00058,Atlas Analytics SL,DE,EUR,mid_market,2024-12-30
cus_00059,Falcon Digital GmbH,DE,EUR,smb,2024-12-15
cus_00060,Alto Analytics AB,GB,GBP,mid_market,2024-12-04
cus_00061,Delta Apps SL,GB,GBP,smb,2024-12-18
cus_00062,Prime Studio SL,DE,EUR,smb,2024-12-03
cus_00063,Nord Cloud BV,FR,EUR,startup,2024-12-28
cus_00064,Falcon Software AB,DE,EUR,mid_market,2024-12-30
cus_00065,Delta Studio AG,DE,EUR,smb,2024-12-19
cus_00066,Blue Networks Inc,DE,EUR,mid_market,2024-12-28
cus_00067,Orbit Dynamics SL,US,USD,startup,2025-01-24
cus_00068,Blue Solutions BV,GB,GBP,startup,2025-01-07
cus_00069,Swift Group AG,US,USD,startup,2025-01-04
cus_00070,Cedar Works GmbH,ES,EUR,startup,2025-01-12
cus_00071,Bright Software AG,ES,EUR,smb,2025-01-03
cus_00072,Swift Cloud SL,GB,GBP,mid_market,2025-01-07
cus_00073,Prime Industries SAS,FR,EUR,startup,2025-01-08
cus_00074,Ever Cloud AB,GB,GBP,smb,2025-01-14
cus_00075,Bright Cloud AB,IT,EUR,startup,2025-01-02
cus_00076,Iron Tech SAS,GB,GBP,startup,2025-01-27
cus_00077,Prime Dynamics SAS,DE,EUR,smb,2025-01-13
cus_00078,Delta Media Inc,NL,EUR,smb,2025-01-04
cus_00079,Falcon Analytics Ltd,FR,EUR,startup,2025-01-17
cus_00080,Alto Solutions BV,DE,EUR,smb,2025-01-07
cus_00081,Prime Networks SAS,ES,EUR,mid_market,2025-01-18
cus_00082,Orbit Logistics AB,US,USD,smb,2025-01-04
cus_00083,Pulse Logistics SAS,GB,GBP,startup,2025-01-20
cus_00084,Ever Group SL,FR,EUR,startup,2025-01-28
cus_00085,Atlas Commerce SL,US,USD,startup,2025-01-17
cus_00086,Ever Apps SL,ES,EUR,startup,2025-01-26
cus_00087,Acme Media BV,CH,CHF,smb,2025-02-04
cus_00088,Falcon Data AG,DE,EUR,startup,2025-02-02
cus_00089,Clear Industries Inc,DE,EUR,smb,2025-02-28
cus_00090,Atlas Media SAS,DE,EUR,smb,2025-02-06
cus_00091,Atlas Software Ltd,US,USD,smb,2025-02-05
cus_00092,Blue Works GmbH,DE,EUR,smb,2025-02-01
cus_00093,Falcon Digital SAS,ES,EUR,startup,2025-02-01
cus_00094,Nord Studio Inc,DE,EUR,mid_market,2025-02-08
cus_00095,Delta Data SAS,DE,EUR,smb,2025-02-17
cus_00096,Atlas Labs Ltd,CH,CHF,smb,2025-02-08
cus_00097,Pulse Works AG,FR,EUR,startup,2025-02-04
cus_00098,Nova Industries GmbH,GB,GBP,startup,2025-02-23
cus_00099,Alto Commerce BV,FR,EUR,smb,2025-02-20
cus_00100,Acme Tech Ltd,ES,EUR,smb,2025-02-11
cus_00101,Cedar Commerce SL,US,USD,startup,2025-02-20
cus_00102,Nova Commerce SL,GB,GBP,smb,2025-02-27
cus_00103,Iron Logistics AG,ES,EUR,startup,2025-02-27
cus_00104,Atlas Labs SAS,DE,EUR,mid_market,2025-02-23
cus_00105,Bright Media AG,FR,EUR,mid_market,2025-02-25
cus_00106,Acme Digital Inc,US,USD,smb,2025-02-18
cus_00107,Bright Tech GmbH,FR,EUR,startup,2025-03-14
cus_00108,Swift Networks Inc,DE,EUR,mid_market,2025-03-28
cus_00109,Hyper Tech SAS,DE,EUR,smb,2025-03-24
cus_00110,Nord Solutions AG,NL,EUR,smb,2025-03-19
cus_00111,Bright Dynamics SL,ES,EUR,mid_market,2025-03-20
cus_00112,Nord Commerce SL,FR,EUR,mid_market,2025-03-24
